id;label;description;code;date_created;last_updated
1;now voluminous;../fake-data/blob/hipster.txt;keenly;2024-10-10T00:57:34;2024-10-09T13:45:33
2;greedy relaunch incline;../fake-data/blob/hipster.txt;hastily;2024-10-09T08:51:11;2024-10-09T06:09:37
3;pointless helplessly epic;../fake-data/blob/hipster.txt;fluff;2024-10-09T10:14:01;2024-10-09T20:57:40
4;an or pointed;../fake-data/blob/hipster.txt;aboard extroverted handover;2024-10-09T17:57:44;2024-10-09T08:16:08
5;meh trench;../fake-data/blob/hipster.txt;before militate flight;2024-10-09T10:40:52;2024-10-09T23:01:22
6;what onto;../fake-data/blob/hipster.txt;vice acidly;2024-10-10T01:52:41;2024-10-09T07:45:22
7;meanwhile hutch self-assured;../fake-data/blob/hipster.txt;if any bashfully;2024-10-10T01:43:10;2024-10-09T15:17:08
8;yet at;../fake-data/blob/hipster.txt;flimsy wee;2024-10-09T18:12:21;2024-10-09T17:27:14
9;yawningly;../fake-data/blob/hipster.txt;micromanage tomography;2024-10-09T04:50:57;2024-10-10T01:12:35
10;finally;../fake-data/blob/hipster.txt;papa;2024-10-09T22:40:17;2024-10-09T12:09:42
