id;title;uri;description;path;source;params;body_text;text_size;structured_content;structure_size;author;language;type;subtype;mine_type;publish_date;offensive_flag;favicon;date_created;last_update
1;engage yippee;after reboot;../fake-data/blob/hipster.txt;developing tail caring;aha since;spice mathematics;../fake-data/blob/hipster.txt;6961;../fake-data/blob/hipster.txt;19246;role beloved amidst;ha pfft;foolhardy but;aha tomb know;till hopelessly inconsequential;2024-10-09T18:53:00;lend within;inasmuch construe;2024-10-09T16:19:51;2024-10-09T14:35:51
2;brr faithfully;unimpressively speedily astride;../fake-data/blob/hipster.txt;apropos encode with;repeatedly;hmph;../fake-data/blob/hipster.txt;25227;../fake-data/blob/hipster.txt;5084;chubby pfft shabby;beside quirkily intrigue;amidst peaceful revitalise;knavishly woot;arrogantly;2024-10-09T08:42:47;triumphantly;cute delightfully absent;2024-10-09T13:04:57;2024-10-09T20:14:47
3;apologise portly;how;../fake-data/blob/hipster.txt;adjudge;coincide than father;yum;../fake-data/blob/hipster.txt;6619;../fake-data/blob/hipster.txt;4282;who however;cow neglected;gah break;yet even furthermore;posh;2024-10-09T11:38:23;even boohoo roadway;following;2024-10-09T19:11:56;2024-10-09T14:10:16
4;writ gee firsthand;softly lone;../fake-data/blob/hipster.txt;sweatshop;incidentally chairperson overconfidently;now paralyse;../fake-data/blob/hipster.txt;15506;../fake-data/blob/hipster.txt;8992;absent stump;quaintly yak;whenever failing brush;accountability yuck whoever;spectate swim;2024-10-09T10:38:50;following drat;distinction fervently icebreaker;2024-10-09T17:02:59;2024-10-09T07:55:41
5;clear-cut depute;geez;../fake-data/blob/hipster.txt;unto a meanwhile;than oh;chap to;../fake-data/blob/hipster.txt;14740;../fake-data/blob/hipster.txt;17156;into for into;shoulder yet irritably;indeed;dreary;hmph with but;2024-10-09T18:05:09;where while lest;gah unless;2024-10-09T19:30:21;2024-10-09T04:53:42
6;apropos aside;yowza wavy;../fake-data/blob/hipster.txt;baseboard supposing;electronics dramatic svelte;uh-huh;../fake-data/blob/hipster.txt;1661;../fake-data/blob/hipster.txt;27967;pro incidentally;unless before yowza;hence emulsify;finally satirise dependent;jogging entry;2024-10-09T08:49:00;spear denitrify um;politely;2024-10-09T23:57:08;2024-10-09T22:43:37
7;whenever excluding;oh until woot;../fake-data/blob/hipster.txt;mechanically whoever tricky;calmly;recklessly;../fake-data/blob/hipster.txt;16338;../fake-data/blob/hipster.txt;16491;cruel bah;serve;blank next;decouple carpool;brood solvency;2024-10-09T06:50:51;aw oily;suspiciously incidentally extremely;2024-10-09T11:48:17;2024-10-09T17:53:41
8;a phooey;by ick enchanted;../fake-data/blob/hipster.txt;admired peony assured;tighten;soon odd with;../fake-data/blob/hipster.txt;27139;../fake-data/blob/hipster.txt;29173;boo;why freely gadzooks;potentially considering;attraction vision;meh;2024-10-09T08:58:51;ick consequently;recommendation serene;2024-10-09T05:22:21;2024-10-09T10:42:55
9;stake yuck gee;down;../fake-data/blob/hipster.txt;optimal analyse;any;if regarding birth;../fake-data/blob/hipster.txt;8190;../fake-data/blob/hipster.txt;5178;correctly making;absent;whenever;far boo skyline;yum unwritten;2024-10-09T10:02:30;uncover before;gadzooks;2024-10-10T03:24:37;2024-10-09T16:29:29
10;by glass sashay;shaft hence;../fake-data/blob/hipster.txt;how;mid atrium;although unkempt yum;../fake-data/blob/hipster.txt;141;../fake-data/blob/hipster.txt;26713;warming range;duh proselytise airport;enrage;tremendously;obstruct excepting by;2024-10-10T03:25:15;er;irresponsible;2024-10-09T08:06:36;2024-10-09T12:37:56
