id;label;text;description;structured_content;start_pos;end_pos;start_term_num;end_term_num;subtype;language;date_created;last_updated
1;kiss;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;18229;10650;15945;9472;arrange anenst by;cavernous corny;2024-10-09T17:22:28;2024-10-09T06:56:38
2;frightfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22418;32129;9807;8040;helplessly if;once underneath;2024-10-09T17:45:15;2024-10-09T23:46:03
3;concerning weakly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;16539;10036;30533;10944;gnash that into;repentant scare uh-huh;2024-10-09T13:31:48;2024-10-09T15:18:58
4;biodegradable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5917;8858;23734;24439;physically truly;gadzooks sleepily;2024-10-09T05:37:40;2024-10-09T06:05:29
5;worthwhile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11085;15350;28351;4499;puritan voluntarily concerning;duh;2024-10-09T07:02:20;2024-10-09T12:41:58
6;modulo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;24968;13883;2616;9487;bossy;fishery miserable;2024-10-09T07:30:35;2024-10-10T01:24:47
7;blushing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8525;13279;9714;9590;dreamily;upliftingly malfunction;2024-10-09T12:43:13;2024-10-09T19:54:10
8;unwieldy oh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;32241;31286;2004;26940;attraction unnecessarily an;obnoxiously what;2024-10-09T08:31:28;2024-10-09T09:45:12
9;since ack needily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8137;20002;14221;25134;orchestrate however;showy;2024-10-09T21:36:23;2024-10-09T17:43:30
10;knottily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13390;891;29602;7840;timely sizzling;red;2024-10-09T15:36:16;2024-10-09T11:24:39
