id;label;description;level;time;location;intent;default_context;date_created;last_update
1;sweetly;mobility officially;although vision;than;neatly provided crossly;or amnesty;false;2024-10-09T14:19:20;2024-10-09T16:30:42
2;uneven throughout exhaust;brief shakily spiteful;decision descendant godparent;after;hm;solemnly;false;2024-10-09T23:17:40;2024-10-09T23:44:40
3;brightly wise;where;gullible as;after or bookcase;wide;sedately lest;true;2024-10-09T21:50:09;2024-10-09T06:56:38
4;scientific fooey;whoa proceed save;warmly um;quickly;equate;bright;false;2024-10-09T22:32:12;2024-10-09T19:26:03
5;finding;versus potable kiss;how sudden yum;hydrant madly uh-huh;narrate;till magnificent;false;2024-10-10T03:15:34;2024-10-09T12:43:24
6;wetly shoddy rosin;under instead;restfully um prohibition;which;underneath;whenever;true;2024-10-09T09:18:40;2024-10-09T13:05:30
7;pry soulful eek;majestically elegant;mysteriously deep wearily;subsidy;astride frankly outlandish;underachieve ha what;false;2024-10-09T19:46:00;2024-10-09T23:53:42
8;list;consequently councilman;furthermore;inspection the;however playfully corporation;junior so;false;2024-10-09T17:42:39;2024-10-09T16:22:54
9;gah gleefully;but;sometimes;inasmuch uh-huh supposing;out;challenge;true;2024-10-09T12:02:51;2024-10-09T06:52:25
10;concerning;behest;frantically;elegant upwardly machine;video however;joyful meh;true;2024-10-09T23:14:04;2024-10-09T09:37:04
