id;name;url;description;date_created;last_updated
1;publicize;https://hungry-tune-up.biz;../fake-data/blob/hipster.txt;2024-10-09T08:48:09;2024-10-10T04:17:34
2;brandish vainly deck;https://dental-simple.net;../fake-data/blob/hipster.txt;2024-10-10T02:23:09;2024-10-09T05:35:45
3;more jaunty release;https://beloved-cork.com;../fake-data/blob/hipster.txt;2024-10-09T15:29:51;2024-10-10T02:03:51
4;after;https://naughty-assist.com;../fake-data/blob/hipster.txt;2024-10-10T03:13:54;2024-10-09T06:23:40
5;likewise celsius gee;https://shady-rim.net;../fake-data/blob/hipster.txt;2024-10-09T21:36:52;2024-10-09T12:37:03
6;pro drat;https://insecure-wallaby.name/;../fake-data/blob/hipster.txt;2024-10-10T00:19:55;2024-10-09T14:51:10
7;wisely deceivingly;https://metallic-sprinkles.info/;../fake-data/blob/hipster.txt;2024-10-10T02:17:02;2024-10-09T10:20:36
8;immediately or;https://stale-chairperson.org/;../fake-data/blob/hipster.txt;2024-10-09T15:52:34;2024-10-09T09:14:49
9;tall deeply finished;https://serpentine-elver.org/;../fake-data/blob/hipster.txt;2024-10-09T16:27:17;2024-10-09T04:48:54
10;parched to flawless;https://exhausted-commodity.com;../fake-data/blob/hipster.txt;2024-10-09T08:51:50;2024-10-09T07:13:30
