id;label;description;default_tag;date_created;last_updated
1;brr pupil;hungrily;true;2024-10-09T07:48:03;2024-10-09T16:13:57
2;pfft questioningly;short-term outside gosh;true;2024-10-09T12:53:54;2024-10-10T02:54:31
3;considering;sharply;true;2024-10-09T11:12:16;2024-10-09T07:41:31
4;aha monocle;excepting;false;2024-10-10T02:13:57;2024-10-10T04:20:11
5;yum;ack nucleotidase how;true;2024-10-09T14:16:06;2024-10-09T06:05:14
6;solemnly;card;false;2024-10-09T23:52:35;2024-10-09T04:36:00
7;deceivingly incidentally;pile petty below;false;2024-10-10T00:38:42;2024-10-10T01:48:25
8;even;thread throughout;true;2024-10-09T19:38:38;2024-10-09T19:40:05
9;brightly;amid properly frankly;false;2024-10-09T21:38:11;2024-10-09T17:37:30
10;of intently ouch;settler gadzooks;true;2024-10-09T18:58:16;2024-10-09T19:15:51
