id;label;parent_class;descrption;date_created;last_updated
1;bah fortunately against;abnegate firm yet;swim;2024-10-09T23:25:37;2024-10-09T05:05:41
2;regarding vista;instead why;redevelop neglect;2024-10-09T10:18:51;2024-10-09T13:11:48
3;brr;subtle duh;snoop yuck;2024-10-09T15:01:27;2024-10-10T02:35:27
4;order;fooey pack soon;even through;2024-10-09T20:00:25;2024-10-10T02:14:44
5;fencing;unwieldy;whoever designation so;2024-10-09T17:53:12;2024-10-09T10:46:00
6;across rubric;cute mmm at;boohoo;2024-10-09T21:19:12;2024-10-09T06:21:45
7;ostrich athletic;questionably more eminent;hotfoot display foolishly;2024-10-09T08:43:44;2024-10-09T07:52:10
8;coordination;obnoxiously oh;defenseless gently across;2024-10-09T20:47:10;2024-10-09T10:58:37
9;but ultimately;gah;venom because;2024-10-09T20:22:22;2024-10-10T02:53:40
10;jubilantly before taxicab;ack ponder likewise;yuck;2024-10-09T15:49:16;2024-10-09T04:43:49
